registro,tipo_doc,canal,cod_dispositivo,num_trx,mnt_total_trx
77112205,1,POS,14812028,3,22218042.0
74568868,1,POS,14388938,3,21583407.0
15361739,1,POS,12370698,1,6185349.0
82200540,1,POS,10313583,2,10313583.0
76659434,1,POS,14358071,4,28716142.0
17655299,1,POS,12152989,1,6076494.5
87089061,1,POS,11576899,1,5788449.5
63644977,1,POS,11863172,1,5931586.0
24423460,1,POS,11272457,1,5636228.5
14471889,1,POS,10005445,1,5002722.5
10723170,2,POS,11303609,1,5651804.5
22746258,1,POS,10604916,6,31814748.0
60960760,1,POS,10313781,2,10313781.0
26424890,1,POS,14540827,34,247194059.0
16636394,1,POS,12779393,1,6389696.5
63628528,1,POS,13550629,1,6775314.5
15226470,1,POS,13575071,3,20362606.5
86116086,1,POS,11341260,1,5670630.0
99474068,1,POS,11397643,4,22795286.0
10759905,1,POS,11066180,1,5533090.0
28601919,1,POS,13369590,1,6684795.0
24838565,1,POS,11096278,1,5548139.0
24724033,1,POS,14185151,2,14185151.0
79798539,1,POS,11531308,1,5765654.0
68127238,1,POS,11540804,1,5770402.0
85202879,1,POS,13255047,1,6627523.5
11808821,1,POS,13388707,1,6694353.5
26477798,1,POS,15476302,1,7738151.0
23305747,1,POS,11463007,2,11463007.0
18990096,1,POS,11601630,1,5800815.0
12012742,1,POS,10604916,18,95444244.0
28320126,1,POS,12078598,1,6039299.0
96936398,1,POS,13336466,1,6668233.0
78645020,1,POS,10305233,1,5152616.5
94893600,1,POS,13541800,1,6770900.0
78768313,1,POS,14755508,1,7377754.0
95458269,1,POS,12302436,1,6151218.0
13879721,1,POS,12201554,1,6100777.0
13446253,1,POS,12302386,1,6151193.0
18901911,1,POS,13198510,2,13198510.0
20555269,1,POS,14312961,3,21469441.5
18882308,1,POS,11127065,4,22254130.0
97400172,1,POS,11096278,1,5548139.0
73708784,1,POS,10327682,1,5163841.0
17535858,1,POS,13800750,1,6900375.0
24658692,1,POS,13821145,1,6910572.5
23032227,1,POS,15091770,1,7545885.0
96936398,1,POS,14214894,2,14214894.0
12575608,1,POS,13289657,3,19934485.5
26599844,1,POS,14524102,1,7262051.0
19922292,1,POS,11540085,6,34620255.0
78855601,1,POS,11463007,2,11463007.0
16704800,1,POS,11254026,2,11254026.0
19633960,1,POS,14304075,1,7152037.5
67745656,1,POS,11843760,1,5921880.0
12925596,1,POS,10602407,2,10602407.0
24868914,1,POS,14311997,8,57247988.0
13491918,1,POS,10602407,1,5301203.5
80193347,1,POS,10315497,1,5157748.5
27301566,1,POS,11792751,1,5896375.5
91731359,1,POS,14015358,1,7007679.0
90297130,1,POS,11805868,1,5902934.0
79057015,1,POS,11732088,4,23464176.0
19371227,1,POS,14314520,6,42943560.0
14483070,1,POS,12679510,1,6339755.0
74772176,1,POS,10336139,3,15504208.5
76958608,1,POS,12621421,2,12621421.0
15591387,1,POS,13947387,5,34868467.5
86220846,1,POS,12801197,4,25602394.0
17773602,1,POS,10773455,2,10773455.0
